#{"t_start": 1716276737.0011652, "env_id": "CenteringWorld-v0"}
r,l,t
-11.88,1762,3.623016
-24.13,3050,8.766706
-8.41,1241,11.003347
-3.87,757,12.57843
-4.6,804,14.270325
-19.23,2581,19.652194
-4.14,844,21.903672
1.49,7,21.903672
-16.23,2300,26.198695
1.0,1,26.216183
-9.9,1115,28.776517
-0.33,208,29.204107
-0.5,258,29.740502
0.27,121,29.984996
-0.45,213,30.519945
-0.53,202,31.168379
-3.81,462,253.705034
-1.81,472,254.778069
-1.16,417,255.74259
-3.05,461,256.735284
1.51,12,256.766535
-18.16,2326,262.018634
0.96,78,262.15835
-1.35,251,262.6387
-4.79,607,263.882466
-9.37,1321,266.733465
0.96,20,266.78037
-3.23,681,268.345813
-4.65,630,269.767666
-0.63,195,270.241857
0.76,144,270.618007
-0.46,278,271.378446
-0.11,176,271.810693
-1.4,426,272.700457
0.44,245,273.2471
-2.85,423,274.155402
1.24,77,274.36167
1.08,130,274.641067
0.61,101,274.841782
1.45,45,274.927158
-1.31,306,275.521962
-1.3,218,275.925081
0.31,77,276.074135
0.87,122,276.327187
-2.69,673,277.675198
-1.03,304,278.412715
0.33,147,278.72312
-3.16,678,280.123083
0.59,186,280.580443
1.03,29,280.689747
1.37,22,280.771047
-1.04,142,281.112738
-3.05,618,282.425178
-1.1,88,282.589774
-1.7,217,283.023109
0.79,120,283.24919
1.16,50,283.343991
-0.8,303,283.991075
0.46,87,284.154343
0.79,208,284.587124
-1.44,398,285.404124
1.08,86,285.559124
-1.63,263,286.112125
1.35,45,286.196126
1.45,27,286.243126
-3.58,506,542.31676
-0.14,243,542.837776
-0.7,155,543.11964
-0.85,207,543.485687
-3.49,238,543.974004
-5.64,393,544.685623
-0.01,230,545.117573
-2.21,296,545.643002
0.96,101,545.8191
-1.21,70,545.946833
0.44,207,546.308474
1.09,64,546.434147
-5.11,903,548.063622
-0.78,224,548.47972
-3.14,475,549.382514
0.7,71,549.511877
-0.37,113,549.758013
-0.07,329,550.424013
-1.88,69,550.553708
1.28,65,550.697582
1.44,26,550.776482
0.57,182,551.139502
0.93,125,551.394022
-1.67,368,552.164407
-0.79,141,552.455454
-1.1,435,553.374626
-1.82,160,553.664589
-0.24,182,554.082584
-5.03,816,555.800513
-0.75,83,555.937587
0.38,27,555.981557
-0.1,36,556.042747
-1.54,392,556.694513
0.78,79,556.830775
1.55,63,556.943304
-0.29,84,557.088881
1.51,4,557.095385
-3.88,608,558.16902
0.33,91,558.32342
0.64,217,558.728062
-3.94,489,559.657355
1.49,11,559.684384
0.71,98,559.86328
1.49,5,559.871789
1.48,39,559.940872
-0.73,164,560.235561
0.1,135,560.475519
-1.55,365,561.449428
1.16,146,561.826258
0.29,61,561.973494
0.83,37,562.075782
-0.69,308,562.813846
0.59,207,563.352893
1.44,44,563.446795
1.55,31,563.529329
-1.53,286,564.217571
1.48,41,564.31249
-2.58,238,564.864005
0.17,159,565.228299
1.48,97,565.470122
1.22,88,565.676898
0.33,100,565.919142
0.34,79,566.127581
1.47,41,566.230257
0.98,41,566.331716
1.07,111,566.593602
1.01,51,566.723641
1.13,93,566.952609
0.89,39,567.041481
-2.95,270,567.670674
1.05,81,567.847112
0.61,325,568.673277
0.6,100,568.917758
1.11,79,569.105157
1.29,68,569.269172
1.12,151,569.639311
0.43,31,569.711163
-2.8,532,571.021213
0.59,122,571.245588
-0.61,114,571.442645
0.85,38,571.512241
0.92,28,571.566309
0.94,44,571.645459
1.46,55,571.749543
1.16,81,571.887525
1.25,63,571.996762
1.36,144,572.241806
1.5,2,572.245315
1.33,95,572.411618
1.17,104,572.589869
1.57,28,572.646237
0.33,65,572.760095
1.39,39,572.826541
1.54,24,572.866575
1.0,176,573.165229
-0.8,402,573.865214
0.63,217,809.117606
0.96,26,809.187143
1.33,38,809.28387
0.9,138,809.615645
-0.25,138,809.923037
1.29,108,810.182788
0.41,160,810.572596
1.11,152,810.946231
1.41,44,811.047637
1.0,32,811.124066
0.75,66,811.274996
1.21,225,811.811939
1.36,41,811.911706
0.3,141,812.223564
1.08,64,812.3739
1.3,43,812.472724
0.19,182,812.89706
1.18,70,813.074977
0.76,99,813.303618
-0.04,172,813.693639
1.52,72,813.864936
1.55,19,813.902845
0.34,85,814.09251
1.08,38,814.187983
0.5,58,814.31959
1.29,107,814.552517
-0.63,60,814.681016
1.4,32,814.758867
1.67,70,814.918991
1.56,23,814.985315
-0.66,70,815.145863
1.36,32,815.225966
-3.76,105,815.468511
1.5,81,815.645965
1.47,37,815.727532
-1.3,75,815.892488
0.78,62,816.03045
0.67,152,816.361925
0.63,156,816.734411
1.48,54,816.852499
1.0,1,816.854929
0.95,87,817.085912
0.86,79,817.273532
0.99,53,817.38891
1.59,32,817.46486
0.99,124,817.742574
0.0,21,817.791491
0.59,60,817.921103
1.56,9,817.940694
1.09,71,818.102911
1.4,39,818.201952
-2.85,176,818.603488
1.45,16,818.639169
0.31,63,818.772579
1.71,72,818.949547
1.1,142,819.271189
1.65,49,819.379582
0.9,33,819.456986
1.56,29,819.51769
1.44,62,819.657168
1.27,60,819.788909
1.5,32,819.861115
1.35,63,820.010618
1.55,52,820.128459
0.7,109,820.372906
1.05,92,820.585878
1.48,31,820.657323
1.42,75,820.862672
1.53,51,820.988719
1.5,11,821.013822
0.86,77,821.221419
1.76,86,821.451026
1.26,116,821.740804
1.05,215,822.25101
1.14,146,822.63089
-1.19,271,823.301816
0.44,74,823.481118
0.94,231,824.047616
-1.37,380,824.933928
1.49,48,825.042492
-0.86,147,825.416576
1.47,21,825.458124
0.37,26,825.515887
0.39,29,825.593812
1.0,33,825.689793
1.5,2,825.694833
1.48,13,825.720397
1.62,44,825.824947
1.16,202,826.282758
1.51,57,826.41155
0.14,107,826.649941
-0.79,282,827.37254
0.14,133,827.68782
1.37,32,827.760242
0.02,112,828.040145
1.69,75,828.212582
1.68,48,828.316764
0.34,102,828.581159
0.46,137,828.909149
1.21,176,829.343216
1.18,127,829.650057
0.69,82,829.844906
0.13,63,829.995724
-0.09,253,830.607204
0.98,25,830.666671
1.36,83,830.877035
1.37,43,830.971352
1.52,28,831.039114
1.58,79,831.232403
0.92,38,831.332428
0.21,85,831.536515
1.53,23,831.594922
1.48,42,831.700798
1.55,29,831.765619
-0.12,349,832.573886
1.6,20,832.616485
1.4,121,832.901134
0.95,36,832.979841
0.04,140,833.294714
1.49,103,833.526349
1.56,30,833.60441
0.66,108,833.842738
0.22,133,834.143073
1.65,58,834.272716
1.65,29,834.337816
1.51,3,834.344326
1.01,24,834.402553
0.18,183,834.851255
1.03,19,834.89161
0.02,43,834.993342
0.86,158,835.368106
-1.42,128,835.663559
1.6,28,835.738591
1.55,142,836.090799
1.0,1,836.093308
1.65,36,836.177597
1.81,98,836.404284
0.57,59,836.542339
0.99,106,836.785788
1.7,95,837.043425
1.68,81,837.280631
1.57,99,837.500968
0.97,169,837.888826
1.41,36,837.974031
0.84,68,838.136804
1.05,50,838.245508
1.03,124,838.529821
-0.83,99,838.744514
0.63,108,838.99903
1.08,107,839.240773
0.76,134,839.544023
0.85,159,839.91238
-0.65,255,840.50037
1.66,44,840.598879
1.12,29,840.665113
0.4,67,840.852584
0.41,127,841.153282
1.08,51,841.26969
0.97,166,841.649631
1.38,27,841.706176
1.01,16,841.742331
-0.21,58,841.865344
1.49,53,841.993488
1.63,62,842.1347
1.52,106,842.380746
0.86,123,842.659662
1.39,104,842.887048
1.32,79,843.061412
1.57,27,843.123255
-0.14,252,843.710346
1.46,38,843.817959
1.04,56,843.945686
0.64,118,844.220312
0.41,43,844.318497
1.59,41,844.41941
1.52,17,844.458975
1.53,15,844.491414
1.08,32,844.565312
1.55,14,844.59536
1.56,27,844.655976
1.55,19,844.698409
0.84,121,845.001626
1.48,8,845.021508
0.97,30,845.089563
1.6,18,845.131413
1.53,15,845.16477
1.48,57,845.310642
0.39,136,845.640635
1.08,32,1081.72709
0.9,112,1082.0104
0.42,71,1082.182681
1.11,107,1082.440526
1.69,34,1082.526361
1.63,39,1082.618736
1.57,29,1082.690886
0.77,83,1082.900843
1.49,25,1082.957285
1.72,92,1083.174106
1.1,38,1083.260001
1.51,16,1083.296056
1.52,12,1083.324121
1.75,122,1083.603695
1.28,86,1083.80005
1.49,160,1084.185366
1.62,47,1084.290836
0.55,148,1084.635768
1.62,33,1084.719743
1.11,66,1084.879791
1.22,64,1085.027135
0.88,95,1085.258371
1.73,56,1085.401884
1.55,66,1085.560763
0.88,196,1086.021888
1.67,62,1086.163928
1.4,44,1086.26971
0.06,33,1086.346358
0.53,29,1086.411807
1.59,34,1086.507098
1.19,52,1086.640732
0.82,289,1087.335779
0.58,74,1087.522041
1.47,49,1087.65193
1.62,25,1087.719672
1.49,15,1087.771849
1.01,22,1087.831958
0.51,48,1087.950997
0.95,9,1087.970631
1.61,15,1088.003727
1.66,53,1088.133353
0.44,54,1092.500018
1.03,34,1100.661257
1.51,78,1110.969774
1.49,39,1111.774668
0.6,99,1115.753832
1.56,25,1116.271856
0.53,86,1116.939409
1.0,1,1116.944416
1.46,56,1118.194586
1.24,123,1119.6323
1.56,88,1119.781671
1.57,17,1119.8107
0.97,8,1119.824924
1.48,32,1119.879737
1.56,26,1119.923738
1.6,35,1119.984793
1.53,11,1120.003382
0.17,160,1120.288214
1.13,44,1120.358616
1.52,41,1120.436357
1.02,120,1121.818693
-0.47,312,1122.619458
1.01,19,1122.662874
0.66,55,1122.787322
-2.52,399,1123.744976
1.69,53,1123.865536
0.3,99,1124.099527
1.61,39,1124.187219
1.49,38,1124.273997
1.54,34,1124.359779
0.95,57,1124.490187
0.26,154,1124.855502
1.58,36,1124.939301
0.54,23,1125.001908
1.6,62,1125.15311
-0.72,100,1125.386273
0.69,70,1125.564473
1.52,50,1125.681489
1.2,68,1125.849528
1.54,75,1126.040574
0.95,122,1126.408665
1.11,35,1127.367574
0.9,51,1128.090507
1.61,20,1128.13649
1.31,82,1128.736583
0.78,117,1128.941727
1.46,30,1128.993428
1.48,10,1129.01194
1.58,29,1129.064865
1.51,62,1129.181584
1.18,38,1129.24498
1.56,16,1129.274512
2.1,132,1129.516549
-0.23,88,1129.667258
1.07,166,1129.962465
1.52,40,1130.042108
1.16,165,1130.326604
-0.1,51,1130.41802
-0.02,64,1130.532733
1.26,40,1130.60554
1.12,253,1131.089292
1.57,24,1131.135977
1.75,101,1131.32851
1.54,35,1131.395082
1.49,29,1131.451319
1.49,75,1131.597025
1.38,56,1131.704328
0.54,32,1131.765208
1.63,20,1131.803813
1.66,61,1131.923469
1.18,44,1132.018589
1.54,15,1132.048121
1.49,39,1132.125752
0.44,25,1132.176299
1.51,30,1132.237791
0.83,55,1132.34461
1.47,106,1132.553617
0.72,73,1132.703286
0.93,77,1132.852606
1.47,19,1132.889179
1.51,4,1132.897184
1.47,33,1132.977342
1.48,41,1133.060538
1.67,209,1133.488399
1.04,90,1133.690484
1.5,29,1133.756624
1.16,131,1134.05389
1.64,26,1134.1243
1.58,76,1134.29359
1.58,16,1134.329606
0.96,35,1134.407252
1.47,59,1134.5556
1.65,23,1134.604389
0.46,53,1134.722141
1.16,92,1134.925974
1.05,27,1134.986148
-0.7,278,1135.546341
1.68,49,1135.659516
1.01,100,1135.855167
1.17,45,1135.942329
0.5,48,1136.042
0.64,29,1136.099791
0.55,34,1136.164758
0.41,53,1136.279536
1.58,18,1136.316576
0.8,44,1136.403672
1.53,33,1136.468379
1.22,112,1136.688242
1.64,39,1136.766903
0.83,130,1137.044608
1.74,95,1137.229877
1.37,83,1137.410443
0.82,83,1137.575776
1.53,16,1137.608422
1.47,9,1137.630473
1.64,23,1137.676779
1.75,85,1137.847839
1.11,38,1137.925336
1.42,27,1137.981394
1.64,106,1138.223744
1.67,22,1138.272231
1.68,44,1138.375723
-0.08,28,1138.44164
0.97,55,1138.551064
1.53,29,1138.607787
0.24,76,1138.770566
0.89,32,1138.834246
1.54,50,1138.933987
1.56,16,1138.965514
1.02,11,1138.986533
1.53,18,1139.022078
1.51,48,1139.115555
0.84,68,1139.250286
1.56,20,1139.289344
1.31,70,1139.440625
1.32,45,1139.534129
0.6,34,1147.683607
1.56,16,1151.871202
0.84,94,1161.882308
1.63,39,1161.948153
1.16,48,1162.057234
1.98,202,1162.818991
0.45,54,1163.027044
1.07,22,1163.106178
1.17,128,1163.586908
1.56,9,1163.617525
0.44,62,1163.823425
1.57,11,1163.847164
1.56,44,1163.946236
1.54,28,1164.021545
1.53,20,1164.071753
1.54,38,1164.161338
1.15,147,1164.564414
1.33,98,1164.836518
1.37,159,1165.251215
1.05,24,1165.30417
1.09,19,1165.349242
1.61,46,1165.457156
1.59,80,1165.65435
1.59,77,1165.839698
1.59,33,1165.918916
0.94,23,1165.97085
1.63,41,1166.072763
0.53,49,1166.183684
0.93,56,1166.321279
0.57,113,1166.577323
0.06,64,1166.737511
1.4,160,1167.119053
1.54,71,1167.296348
1.47,39,1167.392687
1.66,65,1167.546689
0.89,39,1167.639628
1.02,8,1167.659648
1.6,82,1167.825761
1.55,62,1167.94423
0.52,40,1168.017572
1.63,21,1168.053707
1.63,33,1168.110905
1.69,104,1168.317843
1.66,83,1168.500244
1.5,52,1168.594028
0.64,87,1168.767916
1.74,61,1168.906871
1.86,179,1169.332751
0.94,36,1169.412552
1.56,14,1169.445597
1.55,27,1169.50625
0.51,44,1169.590971
0.86,48,1169.708989
1.83,55,1169.84726
1.51,6,1169.861162
1.56,47,1169.97386
1.66,55,1170.096847
1.6,22,1170.144847
1.25,67,1170.299718
1.58,17,1170.341328
1.4,47,1170.49249
1.6,85,1170.713181
1.48,48,1170.84331
1.5,43,1170.967732
0.91,93,1171.223884
1.51,12,1171.257432
1.5,2,1171.260945
1.36,189,1171.716916
1.52,25,1171.772257
1.64,52,1171.91151
1.58,39,1171.996108
0.53,30,1172.06967
0.8,174,1172.521856
1.1,21,1399.088422
1.53,21,1399.127463
1.07,25,1399.178539
1.59,17,1399.208138
1.64,117,1399.447627
0.63,239,1399.974128
1.01,71,1400.102426
1.7,96,1400.304348
1.18,69,1400.430038
-0.1,52,1400.528728
1.52,25,1400.631437
1.67,91,1400.802271
1.75,81,1400.972783
1.87,115,1401.184042
1.56,26,1401.233192
1.52,9,1401.249732
1.67,89,1401.445341
1.6,37,1401.518462
1.05,16,1401.547535
0.54,50,1401.700194
0.76,161,1402.027763
1.68,40,1402.10236
1.07,32,1402.183428
1.06,24,1402.226462
1.68,37,1402.322741
0.32,165,1402.648287
1.61,22,1402.692689
1.61,91,1402.883634
1.57,23,1402.956739
1.04,56,1403.058237
0.75,69,1403.181358
1.55,14,1403.208382
1.43,33,1403.294425
1.06,35,1403.359663
1.58,30,1403.412724
1.33,76,1403.549706
0.83,180,1403.976459
0.87,41,1404.049654
1.53,29,1404.104768
1.65,121,1404.345768
1.48,22,1404.383805
1.55,67,1404.504974
1.51,29,1404.558619
1.49,43,1404.659727
0.97,35,1404.721298
1.11,46,1404.835916
1.78,62,1404.972622
1.64,30,1405.028531
0.7,51,1405.120835
1.55,23,1405.165378
1.53,10,1405.182396
1.17,45,1405.262525
1.59,52,1405.382372
1.52,39,1405.467478
1.48,87,1405.658742
1.38,76,1405.802737
1.38,59,1405.965646
1.0,37,1406.029349
1.17,122,1406.258587
1.35,58,1406.401559
1.88,74,1406.533956
1.51,9,1406.550483
1.0,1,1406.551484
1.68,53,1406.669843
1.33,101,1406.861319
1.4,49,1407.060377
0.52,71,1407.182567
1.18,43,1407.255362
1.57,43,1407.330639
1.46,19,1407.362888
1.62,40,1407.42848
1.62,36,1407.492551
1.62,102,1407.675655
1.13,32,1407.736338
1.51,29,1407.785392
1.62,39,1407.850465
1.87,172,1408.166209
1.7,26,1408.208247
1.54,8,1408.224262
1.63,28,1408.272564
1.51,187,1408.587639
1.6,18,1408.619358
1.19,38,1408.682925
1.54,12,1408.703945
1.31,82,1408.859675
1.61,32,1408.915786
1.52,31,1408.973662
1.54,42,1409.045066
1.54,32,1409.099697
1.08,33,1409.156299
1.63,25,1409.198617
1.72,101,1409.381406
1.7,52,1409.46949
1.69,34,1409.527138
1.6,17,1409.561684
0.96,20,1409.604729
1.47,9,1409.620754
1.45,78,1409.762425
1.63,56,1409.854396
-0.01,32,1409.913984
1.15,25,1409.962451
1.15,26,1410.007487
1.54,81,1410.146005
1.13,115,1410.355108
1.5,2,1410.358108
1.36,122,1410.568466
1.23,50,1410.671218
1.63,24,1410.710991
1.48,28,1410.760043
1.5,22,1410.80642
1.49,49,1410.896712
1.52,9,1410.913433
1.58,10,1410.931474
-0.67,275,1411.450368
1.57,10,1411.46945
1.56,17,1411.501372
1.02,42,1411.573463
1.57,28,1411.64172
1.16,38,1411.706006
1.61,36,1411.773628
1.26,177,1412.094841
0.57,54,1412.189275
0.64,39,1412.259701
1.43,50,1412.367445
1.76,50,1412.460393
1.56,17,1412.492491
1.63,39,1412.572343
1.05,69,1412.713904
1.64,19,1412.747904
1.54,30,1412.80248
1.58,12,1412.824502
1.57,20,1412.861155
1.06,22,1412.903702
1.75,48,1412.999625
1.32,51,1413.101806
1.59,29,1413.15437
1.55,38,1413.227969
1.58,12,1413.251005
1.04,26,1413.308361
1.07,29,1413.359921
1.64,39,1413.429389
1.59,17,1413.458486
1.6,27,1413.517124
1.69,48,1413.63122
1.6,23,1413.677358
1.15,206,1414.139378
1.46,51,1414.23553
1.87,63,1414.38823
1.45,90,1414.632796
1.57,34,1414.694423
1.32,111,1414.919236
1.61,105,1415.130304
1.65,20,1415.167927
1.39,27,1415.217477
1.48,44,1415.308296
1.66,20,1415.345478
1.14,44,1415.427305
1.04,33,1415.497805
0.93,144,1415.807589
0.9,60,1415.921065
1.66,30,1415.987417
1.59,24,1416.033506
1.55,38,1416.106362
1.6,17,1416.137888
1.04,40,1416.212488
1.91,160,1416.529427
1.58,19,1416.567343
1.81,81,1416.751684
1.88,69,1416.917471
1.57,23,1416.987384
1.61,20,1417.025422
1.67,39,1417.095044
1.09,24,1417.139585
1.61,29,1417.19124
1.17,93,1417.389912
1.72,35,1417.45603
1.91,101,1417.666188
1.62,27,1417.720241
1.68,28,1417.773804
1.57,18,1417.813473
1.56,25,1417.859552
0.97,33,1417.975927
1.62,47,1418.065015
1.16,38,1418.134602
1.58,25,1418.179651
1.24,160,1418.503056
1.65,25,1418.548412
1.59,21,1418.585047
1.55,17,1418.649536
0.7,88,1418.806507
1.62,24,1418.851054
1.65,31,1418.908605
1.0,1,1418.91011
1.93,92,1419.16999
1.51,19,1419.204521
1.67,32,1419.260766
1.06,11,1419.307101
1.64,20,1419.340298
1.7,26,1419.393356
1.45,41,1419.469428
1.57,38,1419.538502
1.6,19,1419.570039
1.69,44,1419.673571
1.33,147,1419.966956
1.87,66,1420.12499
1.51,6,1420.137498
1.72,43,1420.214083
1.47,79,1420.37853
1.53,15,1420.407286
1.55,13,1420.430812
1.53,23,1420.4714
1.6,24,1420.515041
1.39,89,1420.700104
1.57,114,1420.907474
1.55,10,1420.927491
1.57,32,1421.012607
1.63,18,1421.045135
1.61,13,1421.100251
1.61,17,1421.131335
1.79,84,1421.311906
1.55,25,1421.355452
1.58,31,1421.413062
1.66,36,1421.48164
1.54,15,1421.512183
1.58,40,1421.58429
1.64,21,1421.651507
1.5,5,1421.659519
1.55,28,1421.713794
1.06,30,1421.769868
1.6,21,1421.808442
1.58,24,1421.878093
1.54,20,1421.981271
1.63,69,1422.129421
1.61,24,1422.179544
1.6,95,1422.417955
1.51,11,1422.437977
0.82,89,1422.619411
1.53,23,1422.659235
1.55,94,1422.837611
1.54,13,1422.866225
1.65,19,1422.901119
1.45,18,1422.933216
1.56,21,1422.973406
1.74,36,1423.040383
1.62,29,1423.091047
1.56,21,1423.129116
1.58,21,1423.16576
1.63,50,1423.273259
1.66,82,1423.433816
1.78,151,1423.696877
1.65,29,1423.744423
0.59,144,1424.006824
1.57,14,1424.037358
0.8,74,1424.161455
1.56,16,1424.196998
1.3,54,1424.323157
0.53,49,1424.412247
1.61,55,1424.514871
1.68,36,1424.581596
1.55,26,1424.654321
1.58,37,1424.721191
1.42,101,1424.908515
-0.72,93,1425.1192
1.38,39,1425.187336
1.6,42,1425.32805
