,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
0,0,0.0,2024-05-18 20:24:17.366887,2024-05-18 20:44:06.982197,0 days 00:19:49.615310,tanh,2.7001586036459057e-05,0.98,0.9,0.0019519083643588287,constant,0.9,512,small,False,False,True,0.07228549078154167,COMPLETE
1,1,-299.974,2024-05-18 20:24:17.367888,2024-05-18 20:44:13.192508,0 days 00:19:55.824620,tanh,0.0007564560909742385,0.99,0.9999,0.00027826404330662735,constant,1.0,8,small,False,True,True,0.8628969405833097,COMPLETE
2,2,0.0,2024-05-18 20:24:17.375888,2024-05-18 20:44:19.491361,0 days 00:20:02.115473,relu,9.097382278897944e-06,0.92,0.995,0.0026830666320229284,constant,0.7,8,medium,False,False,True,0.9544492456099948,COMPLETE
3,3,0.0,2024-05-18 20:24:17.393099,2024-05-18 20:44:01.344265,0 days 00:19:43.951166,relu,0.000666660610586674,0.95,0.98,4.140802184566364e-05,constant,5.0,128,small,True,True,True,0.2382937129572702,COMPLETE
4,4,0.008,2024-05-18 20:24:17.395100,2024-05-18 20:42:59.222262,0 days 00:18:41.827162,tanh,0.0003597555215681488,0.92,0.99,0.0003940838320121361,constant,0.7,1024,small,True,False,True,0.331330653181512,COMPLETE
5,5,-499.90599999999995,2024-05-18 20:24:17.403098,2024-05-18 20:44:08.107201,0 days 00:19:50.704103,tanh,8.372144420977117e-07,0.95,0.9,0.030444715357026274,constant,0.3,16,small,False,True,True,0.9350284376533929,COMPLETE
6,6,0.0,2024-05-18 20:24:17.404102,2024-05-18 20:44:25.495836,0 days 00:20:08.091734,relu,0.009475048247863957,0.98,0.999,0.00011231829546319309,linear,0.9,16,medium,True,True,False,0.3328468104724518,COMPLETE
7,7,-99.62800000000001,2024-05-18 20:24:17.409103,2024-05-18 20:40:27.361618,0 days 00:16:09.952515,tanh,0.00026849222394886195,0.9,0.995,0.001991440183698894,linear,0.5,1024,small,False,True,True,0.8197238394078156,COMPLETE
8,8,0.0,2024-05-18 20:40:27.363617,2024-05-18 21:00:31.367153,0 days 00:20:04.003536,tanh,0.03281875064814643,0.98,0.9,0.1386183380032319,constant,0.5,256,small,True,False,False,0.5135878962525317,COMPLETE
9,9,0.0,2024-05-18 20:42:59.224262,2024-05-18 21:01:58.006539,0 days 00:18:58.782277,relu,0.0022935870694235504,0.95,0.9,0.00017867462920664727,constant,0.8,128,medium,True,True,True,0.3548990234238316,COMPLETE
