#{"t_start": 1716402645.9437945, "env_id": "CenteringWorld-v0"}
r,l,t
-1.59,255,0.895779
1.41,23,1.170749
-0.19,367,2.444803
0.37,115,2.626996
1.6,20,2.886698
1.52,7,2.890699
1.68,25,2.921969
1.76,84,3.0493
1.84,47,3.378036
1.65,29,3.424907
1.72,36,3.480577
1.61,13,3.4962
1.8,67,3.857536
1.63,17,3.879543
1.69,27,3.926456
1.56,8,3.926456
1.15,49,4.240052
1.55,7,4.240052
1.57,10,4.262408
1.57,9,4.278035
1.73,27,4.330326
1.57,17,4.346973
1.64,36,4.647555
1.2,23,4.684843
1.84,45,4.758273
1.55,7,4.758273
1.66,22,4.803017
1.65,17,5.072083
1.58,18,5.103333
1.64,21,5.140227
1.39,46,5.202727
1.04,24,5.255224
1.61,13,5.270848
1.79,37,5.579189
2.2,77,5.710694
1.62,14,5.72632
1.62,16,5.949068
1.56,8,5.969666
1.6,12,5.985305
1.69,21,6.006344
1.65,18,6.037617
1.83,35,6.104493
1.59,11,6.122142
1.58,12,6.137767
1.62,18,6.347861
1.02,5,6.355843
1.14,22,6.399129
1.61,13,6.41888
1.2,27,6.460916
1.3,34,6.514919
1.69,21,6.732725
1.0,1,6.733725
1.63,19,6.762629
1.83,38,6.825132
1.74,26,6.862785
1.79,31,6.916688
1.61,13,7.085777
1.85,37,7.148277
1.62,14,7.170887
1.57,9,7.185892
1.62,14,7.201523
1.67,20,7.237609
1.23,27,7.437717
1.32,38,7.506579
1.64,16,7.522204
1.65,17,7.553454
1.41,49,7.637217
1.65,17,7.827338
1.84,36,7.912548
1.6,12,7.933462
1.7,22,7.966693
1.67,21,7.997945
1.71,25,8.189463
1.64,18,8.225618
1.62,14,8.261865
1.58,10,8.28672
1.52,4,8.296398
1.89,41,8.370754
1.5,8,8.373754
1.55,7,8.389401
1.62,19,8.420651
1.54,6,8.591783
1.67,19,8.637891
1.0,1,8.64205
1.72,24,8.683317
1.54,6,8.683317
1.61,15,8.71997
1.64,18,8.746104
1.6,14,8.760608
1.51,7,8.77624
1.65,17,8.814678
1.9,43,9.031403
1.63,15,9.062674
1.73,35,9.122114
1.76,29,9.167926
1.56,20,9.371093
1.58,12,9.39079
1.68,22,9.42891
1.66,26,9.471885
1.6,12,9.49089
1.78,30,9.541721
1.61,13,9.562842
1.65,82,9.863593
1.82,34,9.918952
1.76,29,10.16379
1.62,22,10.21297
1.5,7,10.228613
1.59,13,10.244238
1.7,22,10.33576
1.86,41,10.412792
1.61,13,10.609372
1.77,30,10.661696
1.59,17,10.690876
1.8,36,10.748187
1.88,40,10.813355
1.58,10,11.004977
1.63,15,11.029147
1.66,19,11.059045
1.55,9,11.073023
1.69,21,11.096161
2.12,65,11.454476
1.11,24,11.485748
1.59,11,11.501373
1.64,22,11.55302
1.24,29,11.594995
1.55,7,11.594995
1.59,13,11.626245
1.63,16,11.892918
1.55,7,11.908566
1.62,16,11.939821
1.7,30,11.9846
1.78,30,12.031492
1.79,31,12.088061
1.63,23,12.372091
1.66,18,12.387716
1.78,30,12.456538
1.68,20,12.476367
1.71,23,12.525403
1.54,16,12.54614
1.86,38,12.849187
1.66,18,12.870073
1.18,30,12.916948
1.54,9,12.932573
1.59,15,12.962855
1.56,8,12.962855
1.93,45,13.287641
1.83,35,13.339782
1.84,40,13.405591
1.68,21,13.425234
1.64,16,13.658777
1.64,16,13.701081
1.26,29,13.757743
1.51,3,13.763224
1.68,20,13.807002
1.64,18,13.828547
1.57,9,13.844172
1.72,24,13.875422
1.57,9,14.053611
1.6,12,14.069237
1.58,10,14.084862
1.86,38,14.162977
1.73,26,14.204607
1.71,27,14.258768
1.6,12,14.432721
1.71,23,14.480544
1.84,40,14.543045
1.6,25,14.592046
1.54,10,14.607671
1.78,30,14.812886
1.57,9,14.828512
1.66,18,14.860363
1.63,21,14.882981
1.69,21,14.928616
1.65,17,14.95465
1.69,22,15.007483
1.62,14,15.018025
1.73,26,15.223205
1.6,12,15.243094
1.1,15,15.258739
1.9,52,15.354567
1.72,25,15.546297
1.62,16,15.577569
1.52,4,15.577569
1.57,9,15.593194
1.76,28,15.652657
1.58,10,15.654658
1.59,17,15.685929
1.95,47,15.925695
1.69,21,15.956947
1.6,24,16.004649
1.61,13,16.017144
1.98,54,16.112752
1.56,12,16.290192
1.71,24,16.337861
2.24,77,16.464889
1.64,16,16.496158
1.85,37,16.694137
1.9,42,16.775561
1.55,7,16.791186
1.47,15,16.806811
1.78,30,16.869132
1.78,31,17.093771
1.66,20,17.126823
1.64,22,17.165045
1.52,8,17.18067
1.31,46,17.257828
1.64,16,17.473963
1.79,31,17.525454
1.83,35,17.600285
1.09,12,17.605565
1.63,15,17.636836
1.59,11,17.652462
1.51,7,17.668087
1.86,39,17.990215
1.54,10,18.00705
1.84,36,18.077687
1.49,9,18.093312
1.56,16,18.125606
1.57,9,18.141254
2.13,65,18.49023
1.68,21,18.529034
1.57,9,18.563144
1.57,13,18.603893
1.64,16,18.638968
1.16,31,18.854842
1.71,23,18.901633
1.59,15,18.932905
1.68,20,18.974614
1.99,51,19.072387
1.98,52,19.338182
1.61,23,19.3745
1.67,19,19.40575
1.62,18,19.44668
1.86,39,19.694735
1.55,7,19.706723
1.54,10,19.725814
1.71,23,19.771811
1.61,13,19.793875
1.65,19,19.827884
1.67,19,19.865642
1.82,36,20.119987
1.59,11,20.141633
1.5,6,20.161836
1.58,10,20.17873
1.82,34,20.233941
1.73,27,20.289111
1.8,34,20.497376
2.26,84,20.65576
1.73,25,20.709892
1.57,9,20.725539
1.55,7,20.903813
1.55,7,20.9182
1.87,39,21.005621
1.78,30,21.059666
1.58,11,21.079914
1.62,14,21.110777
1.59,11,21.129765
1.6,12,21.149772
1.78,31,21.3809
1.63,15,21.41215
1.64,16,21.443231
1.69,21,21.48297
1.84,36,21.563113
2.09,63,21.859899
1.56,68,21.987059
1.64,16,22.180743
1.66,18,22.212013
1.62,14,22.243265
1.91,47,22.32866
1.53,5,22.32866
1.74,26,22.393225
1.68,20,22.60893
1.64,16,22.638092
1.53,5,22.647505
1.13,16,22.676074
1.57,9,22.698526
1.81,33,22.744363
1.61,31,22.81613
1.68,23,23.088494
1.72,30,23.142646
1.6,12,23.167376
1.69,21,23.205225
1.65,17,23.234345
1.82,34,23.546888
1.69,21,23.597219
1.53,9,23.614188
1.52,4,23.621895
1.62,14,23.646875
1.52,4,23.655257
1.98,52,23.763588
1.46,22,23.821812
1.77,29,24.117864
1.55,7,24.117864
1.62,16,24.164721
1.67,19,24.192433
1.65,17,24.229941
1.68,20,24.255409
1.84,36,24.588329
1.68,20,24.617397
1.58,20,24.648649
1.64,16,24.664275
1.68,20,24.696614
1.61,13,24.728768
1.55,7,24.734977
1.59,11,24.750623
1.62,16,25.030848
1.76,28,25.077741
1.75,27,25.12566
1.62,14,25.142306
1.7,22,25.173557
1.5,10,25.198596
1.62,14,25.21423
1.64,16,25.481249
1.75,27,25.527324
1.67,19,25.559267
1.74,26,25.601007
1.58,10,25.619497
1.83,39,25.905222
2.08,61,26.009315
1.62,14,26.03498
1.64,16,26.064709
1.68,20,26.095505
1.57,15,26.354091
1.87,39,26.414175
1.68,28,26.454956
1.73,25,26.501675
1.52,4,26.501675
1.58,10,26.517333
1.64,16,26.542513
1.57,9,26.711311
1.83,35,26.766448
1.69,21,26.796709
1.54,14,26.826968
1.68,20,26.859125
1.72,24,26.891657
2.04,56,27.152278
1.64,20,27.172625
1.6,12,27.203905
1.64,16,27.219917
1.61,13,27.251029
1.89,44,27.477942
1.6,12,27.500883
1.56,14,27.510138
1.63,15,27.541891
1.75,27,27.593923
1.6,12,27.614506
1.72,24,27.790512
2.1,64,27.898777
1.6,12,27.930928
1.57,11,27.947627
2.02,54,28.176945
1.67,19,28.208501
1.56,14,28.239476
1.57,9,28.260589
1.56,8,28.272694
1.56,10,28.288605
1.65,19,28.319592
1.86,39,28.524737
1.64,16,28.555987
1.69,23,28.603856
1.81,33,28.658124
1.61,13,28.676047
1.74,27,28.721688
1.66,18,28.906064
1.61,17,28.921689
1.64,16,28.959176
1.91,43,29.021991
1.57,9,29.037611
1.77,29,29.099074
1.65,17,29.289573
1.59,11,29.293571
2.07,65,29.410237
1.59,23,29.450933
2.1,71,29.747056
1.62,14,29.776187
1.76,28,29.834578
1.89,41,30.077925
1.6,20,30.119541
1.62,14,30.126805
1.52,4,30.14246
2.09,64,30.247694
1.64,18,30.278974
1.75,27,30.49045
1.84,36,30.552976
1.64,16,30.583176
1.74,26,30.613438
1.73,25,30.812619
1.64,20,30.843611
1.56,20,30.892903
1.66,18,30.908343
1.63,15,30.939605
1.7,22,30.985158
1.68,24,31.016894
1.45,13,31.209186
1.65,17,31.234208
1.74,30,31.281089
1.79,31,31.35123
1.59,11,31.371951
1.83,35,31.659249
1.89,41,31.729474
1.96,48,31.833672
1.61,19,31.884232
1.59,13,31.909227
1.98,50,32.168503
1.62,14,32.193669
1.88,40,32.259179
1.68,20,32.290461
1.61,13,32.469568
1.5,36,32.523735
1.58,10,32.53936
1.73,25,32.585139
1.61,13,32.601123
1.58,10,32.616421
1.62,18,32.656135
1.63,19,32.825838
1.81,33,32.888616
1.58,10,32.911073
1.58,10,32.926847
1.5,8,32.942504
1.67,19,32.966688
1.68,20,32.998187
1.85,39,33.23522
1.56,16,33.25923
1.67,27,33.309585
1.79,31,33.409716
1.57,9,33.438534
1.71,23,33.49302
1.65,17,33.771839
1.52,12,33.797748
1.63,15,33.818899
1.67,20,33.849659
1.64,16,33.894038
1.58,10,33.905259
1.5,2,33.905259
1.57,9,33.920887
1.6,12,33.946886
1.55,7,33.97604
1.58,10,33.992696
1.79,31,34.241632
1.6,12,34.257258
1.82,34,34.324979
1.63,23,34.375973
1.59,11,34.391598
1.61,13,34.422817
1.48,6,34.438461
1.78,30,34.684972
1.67,19,34.723184
1.53,5,34.738754
2.05,57,34.838534
1.71,23,35.07651
1.57,13,35.08857
1.68,26,35.137482
1.53,5,35.154068
1.66,18,35.18455
1.82,34,35.248945
2.0,54,35.527908
1.69,21,35.580384
1.73,26,35.622913
1.64,20,35.651089
1.61,13,35.68742
1.96,50,35.986599
1.54,6,35.986599
1.64,16,36.018701
1.95,47,36.11636
1.82,34,36.368642
1.7,22,36.410415
1.57,9,36.434482
1.61,13,36.457508
1.65,17,36.486036
1.66,19,36.520021
1.57,9,36.54093
1.58,12,36.561885
1.67,23,36.805926
1.54,6,36.810036
1.41,31,36.872822
1.75,27,36.919729
1.66,18,36.977197
1.62,14,36.99585
1.7,22,37.0271
1.56,8,37.042994
1.67,19,37.273091
1.58,20,37.308796
1.62,14,37.331179
1.55,7,37.346836
1.62,18,37.387936
1.71,23,37.426011
1.75,27,37.477183
1.84,36,37.707554
1.64,16,37.754184
1.84,38,37.820396
1.64,16,37.85829
1.69,21,37.894476
1.88,40,38.172851
1.61,13,38.188494
1.62,24,38.235653
1.63,15,38.251252
1.93,45,38.509469
1.75,27,38.556629
1.61,13,38.587877
1.69,21,38.622815
1.7,22,38.669966
1.88,42,38.930284
1.61,13,38.950975
1.58,10,38.96355
1.93,45,39.059336
1.58,14,39.087427
1.52,4,39.09364
