,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-499.91,2024-05-18 11:14:49.172872,2024-05-18 12:40:00.721051,0 days 01:25:11.548179,relu,16,0.4,1.3455148941586487e-08,1.0,0.995,1.5698049548287722e-05,5.0,20,256,medium,0.3312071628307016,COMPLETE
1,1,-499.934,2024-05-18 11:14:49.172872,2024-05-18 12:12:38.281290,0 days 00:57:49.108418,relu,64,0.2,7.126243022785874e-07,1.0,0.999,0.16328009677980804,5.0,20,32,small,0.8282358449870736,COMPLETE
2,2,-499.938,2024-05-18 11:14:49.199853,2024-05-18 11:48:05.541856,0 days 00:33:16.342003,tanh,512,0.3,8.01187192693963e-07,0.8,0.95,0.0019396442445120893,1.0,5,512,tiny,0.13003312957460134,COMPLETE
3,3,-499.89,2024-05-18 11:14:49.203253,2024-05-18 11:48:39.933190,0 days 00:33:50.729937,tanh,128,0.1,4.300877549165996e-08,0.92,0.995,6.883129262341829e-05,0.7,5,128,small,0.14121893127857355,COMPLETE
4,4,-499.966,2024-05-18 11:14:49.207189,2024-05-18 12:00:24.596664,0 days 00:45:35.389475,tanh,512,0.1,0.04419351168697397,0.92,0.95,3.307041598546201e-05,5.0,5,1024,small,0.07984271607258797,COMPLETE
5,5,-499.946,2024-05-18 11:14:49.209189,2024-05-18 11:53:11.468862,0 days 00:38:22.259673,relu,256,0.1,0.0006301631283453254,0.92,0.995,3.230096264681473e-05,1.0,5,256,small,0.5091321623823823,COMPLETE
6,6,-199.01800000000003,2024-05-18 11:14:49.220167,2024-05-18 12:19:33.717682,0 days 01:04:44.497515,relu,32,0.4,8.076314285585728e-07,1.0,0.95,1.7074215918556038e-05,0.9,20,16,small,0.16690548151085627,COMPLETE
7,7,-299.36,2024-05-18 11:14:49.222163,2024-05-18 11:37:44.087006,0 days 00:22:54.864843,relu,512,0.2,0.037773918363836395,0.9,0.999,0.0055035586332084436,2.0,10,256,small,0.3565813177979932,COMPLETE
8,8,-98.622,2024-05-18 11:14:49.222824,2024-05-18 11:20:34.675740,0 days 00:05:45.452916,relu,256,0.4,0.00017416557234567777,0.9,0.98,0.006738815018609934,5.0,5,128,tiny,0.5419630056693383,COMPLETE
9,9,-98.70400000000001,2024-05-18 11:14:49.237384,2024-05-18 11:27:54.549814,0 days 00:13:05.312430,relu,256,0.3,3.1766750046533813e-06,0.92,0.9,0.00044029361267901567,1.0,20,256,small,0.1779996220691279,COMPLETE
10,10,-499.99799999999993,2024-05-18 11:14:49.238444,2024-05-18 12:01:52.374698,0 days 00:47:03.136254,relu,512,0.1,0.0711964968826187,1.0,0.999,0.05959936675640505,5.0,20,512,small,0.36135363296016443,COMPLETE
11,11,-500.01000000000005,2024-05-18 11:14:49.248144,2024-05-18 12:01:10.794331,0 days 00:46:21.546187,tanh,128,0.1,2.5162518341955213e-07,0.92,0.995,0.0018566186178502972,0.8,20,512,tiny,0.5681288091503247,COMPLETE
12,12,-499.974,2024-05-18 11:14:49.251144,2024-05-18 11:57:36.780495,0 days 00:42:47.529351,relu,512,0.4,0.0016975592757555568,0.9,0.9999,0.0008501672993344987,0.7,5,2048,small,0.9230159702185808,COMPLETE
13,13,-499.934,2024-05-18 11:14:49.253947,2024-05-18 12:05:48.014747,0 days 00:50:58.760800,tanh,128,0.3,0.013927268017832766,0.9,0.9999,0.00872021743529583,0.5,1,1024,medium,0.05427616247950007,COMPLETE
14,14,-500.01000000000005,2024-05-18 11:14:49.262095,2024-05-18 12:02:52.734216,0 days 00:48:03.472121,tanh,64,0.2,3.670887989193919e-05,0.9,0.9999,0.13495977277142762,0.5,10,2048,tiny,0.7555865316022893,PRUNED
15,15,-499.934,2024-05-18 11:14:49.264478,2024-05-18 12:48:53.211075,0 days 01:34:03.946597,relu,32,0.3,0.015383291736379152,0.9,0.9,0.9928035970148452,0.5,20,8,small,0.42938344331340406,PRUNED
16,16,-499.966,2024-05-18 11:20:34.676792,2024-05-18 12:01:51.472443,0 days 00:41:16.795651,relu,64,0.4,0.00029495177690161645,1.0,0.95,0.738478083034054,0.6,1,16,medium,0.04354739874660474,COMPLETE
17,17,-499.966,2024-05-18 11:27:54.552814,2024-05-18 12:11:08.924304,0 days 00:43:14.371490,relu,64,0.4,8.564016877527377e-07,0.9,0.999,0.09224962102413466,0.8,10,256,small,0.1506336981322104,PRUNED
18,18,-499.96999999999997,2024-05-18 11:37:44.089044,2024-05-18 12:37:58.689363,0 days 01:00:14.600319,tanh,32,0.4,7.07461916953487e-05,0.9,0.995,0.004643730530759878,5.0,20,1024,medium,0.6693382823024121,PRUNED
19,19,-499.96999999999997,2024-05-18 11:48:05.543858,2024-05-18 12:19:32.318967,0 days 00:31:26.775109,tanh,512,0.1,0.017346924350656337,0.9,0.9999,0.002023826620694492,0.9,5,1024,medium,0.24220703688355372,PRUNED
20,20,-499.96999999999997,2024-05-18 11:48:39.935190,2024-05-18 12:32:17.929259,0 days 00:43:37.994069,tanh,16,0.4,3.716001580091434e-05,0.92,0.999,0.0007025553185007289,1.0,5,2048,small,0.4671686154265938,PRUNED
21,21,-399.65000000000003,2024-05-18 11:53:11.470861,2024-05-18 12:53:46.053923,0 days 01:00:34.583062,relu,8,0.2,0.08115538398205618,0.9,0.9999,3.995433355479898e-05,0.6,20,256,small,0.2825284611833344,COMPLETE
22,22,-499.90200000000004,2024-05-18 11:57:36.782555,2024-05-18 12:38:11.101306,0 days 00:40:34.318751,tanh,512,0.4,3.610212156832875e-07,0.8,0.9999,0.00014242736026027833,5.0,1,32,small,0.8306190893641078,COMPLETE
23,23,-499.99799999999993,2024-05-18 12:00:24.597662,2024-05-18 12:37:44.111346,0 days 00:37:19.513684,tanh,512,0.1,1.609958527990461e-07,0.95,0.98,4.6737548623856356e-05,0.3,20,1024,tiny,0.7164868069747583,PRUNED
24,24,-299.35400000000004,2024-05-18 12:01:10.795330,2024-05-18 12:36:14.523501,0 days 00:35:03.728171,relu,16,0.2,9.946319786871435e-08,0.99,0.9999,0.00021492777412231165,0.9,5,512,medium,0.38046815461325634,COMPLETE
25,25,-499.934,2024-05-18 12:01:51.473441,2024-05-18 12:31:04.251315,0 days 00:29:12.777874,tanh,256,0.4,0.0001788735429605243,0.9,0.98,0.020435644607887837,0.7,1,128,tiny,0.5176736950570755,COMPLETE
26,26,-199.0,2024-05-18 12:01:52.376698,2024-05-18 12:22:14.922682,0 days 00:20:22.545984,relu,256,0.4,0.00019197711806575996,0.9,0.98,0.0018071453434317624,5.0,5,128,tiny,0.8069532572743883,COMPLETE
27,27,-98.708,2024-05-18 12:02:52.735267,2024-05-18 12:48:02.614342,0 days 00:45:09.879075,relu,16,0.3,0.0001326081352583059,0.9,0.9,0.0014401748585740042,1.0,20,512,small,0.4838143791446785,COMPLETE
28,28,-499.92600000000004,2024-05-18 12:05:48.016747,2024-05-18 12:37:40.633647,0 days 00:31:52.616900,relu,256,0.4,7.472577693574047e-05,0.9,0.98,0.004956113722126088,0.3,5,256,tiny,0.751195407832691,COMPLETE
29,29,-198.818,2024-05-18 12:11:08.925302,2024-05-18 12:32:46.344307,0 days 00:21:37.419005,relu,128,0.3,3.44515714082815e-05,0.92,0.95,0.000936294320523947,0.7,20,256,small,0.22850575480274532,COMPLETE
