#{"t_start": 1716402645.9437945, "env_id": "CenteringWorld-v0"}
r,l,t
-2.6,242,0.890394
-0.49,596,2.965583
1.78,43,3.033674
1.58,11,3.0493
1.44,60,3.393662
1.83,41,3.449941
1.64,24,3.4962
1.71,33,3.795036
1.64,25,3.826286
1.53,13,3.857536
1.76,35,3.910831
1.63,16,3.926456
1.85,45,4.224402
1.67,22,4.262408
1.58,12,4.278035
1.66,26,4.331326
1.76,34,4.378223
1.62,15,4.647555
1.74,27,4.684843
1.65,17,4.700468
1.58,12,4.731719
1.57,10,4.747344
1.57,15,4.776313
1.83,38,5.087708
1.7,22,5.123581
1.03,8,5.124579
1.54,8,5.140227
1.78,31,5.187102
1.65,18,5.218353
1.58,12,5.239575
1.67,20,5.270848
1.88,41,5.579189
1.23,72,5.710694
1.57,9,5.710694
1.7,24,5.949068
1.67,19,5.985305
1.69,21,6.021992
1.93,47,6.084492
1.67,19,6.122142
1.53,5,6.122142
1.63,15,6.334835
1.62,16,6.361963
1.7,24,6.408847
1.61,29,6.452975
1.58,10,6.469082
1.51,9,6.483498
1.1,13,6.504323
1.67,19,6.71564
1.61,13,6.736724
1.76,34,6.793882
1.54,6,6.793882
1.65,20,6.825132
1.83,43,6.894035
1.9,52,7.132652
1.7,22,7.170887
1.64,16,7.201523
1.54,6,7.201523
1.72,26,7.253238
1.68,20,7.437717
1.58,10,7.453362
1.65,23,7.490934
1.55,7,7.506579
2.11,64,7.605945
0.76,44,7.851099
1.59,11,7.875051
1.57,9,7.897011
1.69,21,7.933462
1.62,14,7.966693
1.66,24,7.997945
1.62,14,8.01357
1.47,7,8.034817
1.56,14,8.19997
1.58,10,8.229193
1.61,13,8.261865
1.56,10,8.286851
1.67,19,8.321214
1.56,9,8.336875
1.79,36,8.389401
1.57,9,8.405026
1.59,17,8.604572
1.6,12,8.633655
1.52,4,8.646155
1.58,14,8.667671
1.24,30,8.71997
1.91,46,8.792371
1.69,21,8.985477
1.2,29,9.031403
1.54,10,9.04705
1.72,28,9.096174
1.6,12,9.116972
1.73,30,9.165
1.8,36,9.393844
1.68,23,9.433642
1.55,8,9.44686
1.74,26,9.488795
1.67,19,9.521848
1.14,17,9.549973
1.61,17,9.739315
1.57,9,9.75421
2.02,60,9.854247
1.63,15,9.8792
1.8,33,9.941866
1.65,23,10.180765
1.59,11,10.204697
1.63,15,10.228613
1.65,17,10.259863
1.88,42,10.379774
1.9,42,10.634686
1.85,37,10.695004
1.62,14,10.718784
1.53,5,10.725822
1.33,38,10.785727
1.7,22,10.997812
1.55,7,11.009918
1.66,20,11.041961
1.63,15,11.065151
1.54,59,11.150341
1.73,27,11.448174
1.67,19,11.470122
1.73,25,11.501373
1.55,7,11.532623
1.62,14,11.557473
1.57,9,11.563723
1.71,23,11.594995
1.59,11,11.61062
1.77,30,11.924191
1.74,26,11.969152
1.63,17,11.9846
1.7,22,12.015868
1.88,40,12.09397
1.79,31,12.387716
1.55,7,12.387716
1.66,22,12.440913
1.62,18,12.456538
1.75,27,12.514613
1.62,16,12.530513
1.07,35,12.833583
1.71,23,12.854422
1.77,29,12.901323
0.58,28,12.958805
1.77,33,13.247119
1.65,29,13.292887
1.56,8,13.308532
1.75,29,13.339782
1.58,22,13.390534
1.71,31,13.425234
1.68,22,13.676263
1.58,10,13.705239
1.39,46,13.796102
1.6,12,13.81292
1.62,14,13.828547
2.02,54,14.084862
1.77,34,14.144663
1.8,32,14.199639
1.57,9,14.224185
1.62,14,14.248864
1.57,9,14.258768
1.69,28,14.464892
1.73,25,14.511794
1.6,24,14.543045
1.7,22,14.592046
2.11,65,14.844137
1.67,19,14.882981
1.54,6,14.882981
1.48,16,14.912969
1.75,27,14.970277
1.57,9,14.985902
1.63,15,15.018025
1.66,18,15.188917
1.74,26,15.243094
1.64,16,15.258739
1.6,16,15.28999
1.66,18,15.33161
1.63,15,15.354567
1.83,35,15.561944
1.64,16,15.593194
1.61,17,15.624443
1.6,16,15.652657
1.58,10,15.654658
1.53,21,15.701554
1.5,14,15.717178
1.61,13,15.732805
1.66,18,15.925695
1.51,7,15.94132
1.89,41,16.017144
1.67,25,16.048405
1.54,6,16.064031
1.68,20,16.097107
1.71,23,16.290192
1.58,16,16.322212
1.6,16,16.353485
1.7,22,16.384735
1.58,10,16.400361
1.62,14,16.432608
1.58,14,16.45489
1.55,15,16.480532
1.81,33,16.678512
1.67,19,16.709762
1.5,8,16.725389
1.95,47,16.806811
1.62,18,16.838058
1.56,8,16.853683
1.92,45,17.103689
1.72,24,17.144736
1.66,27,17.18067
1.52,6,17.201949
1.63,27,17.247648
1.6,14,17.274215
1.56,26,17.512991
1.5,2,17.51599
1.99,51,17.605565
1.89,42,17.668087
1.65,17,17.932871
1.68,20,17.990215
1.77,34,18.046435
1.93,45,18.141254
1.64,16,18.182403
1.78,32,18.458978
2.06,58,18.595893
1.62,14,18.629969
1.6,12,18.659057
1.65,17,18.854842
1.68,22,18.901633
1.81,33,18.95895
1.62,16,18.990944
1.78,32,19.041136
1.86,38,19.280811
1.77,29,19.343222
1.6,12,19.358874
1.82,34,19.421375
1.51,9,19.440173
1.08,11,19.459006
1.85,38,19.706723
1.76,28,19.763621
1.53,5,19.771811
1.6,12,19.792507
1.9,42,19.871674
1.88,43,20.138815
1.77,29,20.199043
1.73,25,20.242308
1.53,9,20.264639
2.06,58,20.513023
1.57,13,20.544274
1.59,27,20.593238
1.63,17,20.62451
1.7,22,20.65576
1.72,24,20.709892
1.66,18,20.9182
1.57,17,20.949469
1.65,17,20.986303
1.6,12,21.013137
1.78,30,21.067577
